OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
136,E10000016,Kent, ,590249,147268,0.72137,51.192951,3546362335.67091,431899.024626103,9d64de96-149a-40ac-9f36-2ac15526d256
137,E10000017,Lancashire, ,369784,440758,-2.46091,53.86216,2896601041.39265,457378.114878787,48db5463-d9ae-435e-94b1-9679f3e279a2
138,E10000018,Leicestershire, ,442147,310191,-1.3779,52.68779,2086209822.14252,300808.316361711,647cea62-3787-4074-8512-ee36800a644d
139,E10000019,Lincolnshire, ,517984,358539,-0.23884,53.111019,5950013293.85518,505219.024674881,32c96280-d3c3-4c8e-aa3a-948bedd6b924
140,E10000020,Norfolk, ,600549,312292,0.964714,52.67123,5374371095.19388,447100.310480209,80195503-52b0-4dae-8a94-bb7cdf63cbce
141,E10000021,Northamptonshire, ,477359,268708,-0.86668,52.31105,2366309702.45107,302397.183063392,820695b9-8f49-40bf-9f12-e0e36b4abb50
142,E10000023,North Yorkshire, ,429509,466515,-1.55032,54.093712,8053157594.9623,660278.369052201,ccc184f2-6cfc-4a55-8e72-1fff0e4bdc09
143,E10000024,Nottinghamshire, ,466570,359496,-1.00656,53.128502,2088523829.0316,306765.730033622,3c742a5e-69e7-435f-807d-7e4b8bf86ffc
144,E10000025,Oxfordshire, ,448985,208334,-1.29146,51.771549,2607088918.87671,342564.406887002,03787265-30b8-49ce-9c81-da2770a70c12
145,E10000027,Somerset, ,309300,131077,-3.29595,51.071819,3462418993.92367,376729.677085706,afc31ed0-aa67-46a6-9d08-8403c81e7e73
146,E10000028,Staffordshire, ,398243,334651,-2.02756,52.909302,2628222822.23864,398317.272010398,46b5d4de-5884-422a-82cb-9c1b043841f9
147,E10000029,Suffolk, ,608219,266120,1.04919,52.253849,3826791438.0187,442963.36486301,5e2251c4-52f3-4331-bf2b-c20306000870
148,E10000030,Surrey, ,515966,153408,-0.33911,51.268028,1667746807.98541,228066.788736319,d92e6d64-e36b-4c42-910a-cda164bdb50e
149,E10000031,Warwickshire, ,429584,253588,-1.56874,52.179771,1974608059.91776,332480.719434152,33e9a1a0-b340-4004-9d13-546c5cdbc820
150,E10000032,West Sussex, ,508316,118010,-0.45933,50.95134,1997465440.18834,269562.453809977,ce140a94-144b-48e9-b8eb-ed1cbb622b64
151,E10000034,Worcestershire, ,385792,257203,-2.20935,52.212872,1743379749.93684,306514.861806333,bbcf0a1f-4cf3-4441-aa74-01b48a8e1b9c
152,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.693859,725800900.120255,145231.019636579,369fc323-995d-4850-9841-cf6aabe2329c
153,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,1436130448.75277,200894.669391751,cea8c4a4-9e90-4c7c-870c-30328750a689
154,N09000003,Belfast, ,146465,529747,-5.92535,54.59853,137794023.258202,55370.6109094332,04697686-875f-4ea4-8706-2db5d43eb117
155,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.039619,1985252734.92857,285674.037232756,792d9098-246f-4e83-ac61-178ba65a3c4c
156,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.80904,1246637562.27684,232729.547862666,fa5bb9e1-687b-4b1e-9ef7-84cb5ee53ea6
157,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.385208,3009094379.02077,353603.406453789,2b291bf7-e0f5-4ade-8470-252ee929d28a
158,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,511681221.176647,133181.9440907,9633fe8e-4401-4f1a-9e41-6543ed5277e8
159,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,1064497440.11093,198438.99519978,172bec7d-b061-41e7-87f6-0d78545e8067
160,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.552731,1960344170.37937,267949.605613351,963dc668-d2ce-436b-b37a-b25c787707df
161,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.149529,1686596198.00008,292916.734120249,efe1484e-9d5d-4fa4-9ef3-fb100f09f6bd
162,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.564091,568030925.63765,133209.664417331,b3af1dcc-76a8-4c4b-8f04-bfd155256bdf
163,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.14724,159232895.883728,73844.8438203014,6fadb854-be30-49a0-bb99-985fd1c9b2a5
